label,benchmark,median_seconds,mean_rmse,mean_mae,mean_accuracy,mean_coverage,baseline_seconds,speedup_pct_vs_baseline
baseline,mixed_dataframe_mar,0.9651028499938548,7914.160750183523,2758.252205229868,0.9467238211879976,1.0,0.9651028499938548,0.0
baseline,numeric_block_medium,0.02752290002536025,0.4452060461044311,0.3503726422786712,,1.0,0.02752290002536025,0.0
baseline,numeric_feature_selection,4.2176595499622636,0.5035240054130554,0.3966721594333648,,1.0,4.2176595499622636,0.0
baseline,numeric_mar_medium,5.484327999933157,0.5515878796577454,0.4296626150608063,,1.0,5.484327999933157,0.0
baseline,numeric_wide_light_missing,12.23135600000387,0.7288858294487,0.5673931837081909,,1.0,12.23135600000387,0.0
strategy-01-fast-ridge,numeric_feature_selection,4.097269349964336,0.5035240054130554,0.3966721594333648,,1.0,4.2176595499622636,2.854431434585685
strategy-01-fast-ridge,numeric_mar_medium,5.26366934995167,0.5515878796577454,0.4296626150608063,,1.0,5.484327999933157,4.0234400638360235
strategy-01-fast-ridge,numeric_wide_light_missing,13.00542644993402,0.7288858294487,0.5673931837081909,,1.0,12.23135600000387,-6.328574280152627
strategy-02-skip-optimask-clean,mixed_dataframe_mar,0.9533380499342456,7914.160750183523,2758.252205229868,0.9467238211879976,1.0,0.9651028499938548,1.2190203416852439
strategy-02-skip-optimask-clean,numeric_feature_selection,3.8882666999707,0.5035240054130554,0.3966721594333648,,1.0,4.2176595499622636,7.809849185065468
strategy-02-skip-optimask-clean,numeric_mar_medium,5.130566150066443,0.5515878796577454,0.4296626150608063,,1.0,5.484327999933157,6.450413794926671
strategy-02-skip-optimask-clean,numeric_wide_light_missing,12.49494704999961,0.7288858294487,0.5673931837081909,,1.0,12.23135600000387,-2.1550435617739816
strategy-03-serial-numba-kernels,mixed_dataframe_mar,0.7874470499809831,7914.160750183523,2758.252205229868,0.9467238211879976,1.0,0.9651028499938548,18.407965535901468
strategy-03-serial-numba-kernels,numeric_feature_selection,2.1864964999840595,0.5035240054130554,0.3966721594333648,,1.0,4.2176595499622636,48.15853498645659
strategy-03-serial-numba-kernels,numeric_mar_medium,3.234730300027877,0.5515878796577454,0.4296626150608063,,1.0,5.484327999933157,41.01865716151
strategy-03-serial-numba-kernels,numeric_wide_light_missing,7.1371132999775,0.7288858294487,0.5673931837081909,,1.0,12.23135600000387,41.649042837317126
strategy-04-serial-numba-plus-fast-ridge,mixed_dataframe_mar,0.7763755000196397,7914.160750183523,2758.252205229868,0.9467238211879976,1.0,0.9651028499938548,19.555154145013326
strategy-04-serial-numba-plus-fast-ridge,numeric_feature_selection,1.9679897499736398,0.5035240054130554,0.3966721594333648,,1.0,4.2176595499622636,53.33929335308139
strategy-04-serial-numba-plus-fast-ridge,numeric_mar_medium,2.9684207499958575,0.5515878796577454,0.4296626150608063,,1.0,5.484327999933157,45.87448544229965
strategy-04-serial-numba-plus-fast-ridge,numeric_wide_light_missing,6.592250199988484,0.7288858294487,0.5673931837081909,,1.0,12.23135600000387,46.103684661076024
strategy-05-serial-numba-plus-skip-optimask,mixed_dataframe_mar,0.8209475000039674,7914.160750183523,2758.252205229868,0.9467238211879976,1.0,0.9651028499938548,14.93678627006492
strategy-05-serial-numba-plus-skip-optimask,numeric_feature_selection,2.166444349975791,0.5035240054130554,0.3966721594333648,,1.0,4.2176595499622636,48.63396809742089
strategy-05-serial-numba-plus-skip-optimask,numeric_mar_medium,3.251179749961011,0.5515878796577454,0.4296626150608063,,1.0,5.484327999933157,40.71872160088462
strategy-05-serial-numba-plus-skip-optimask,numeric_wide_light_missing,7.192356100014877,0.7288858294487,0.5673931837081909,,1.0,12.23135600000387,41.1973938129787
strategy-06-reduce-index-copies,mixed_dataframe_mar,0.7778194499551319,7914.160750183523,2758.252205229868,0.9467238211879976,1.0,0.9651028499938548,19.40553797348287
strategy-06-reduce-index-copies,numeric_feature_selection,2.0160976499901153,0.5035240054130554,0.3966721594333648,,1.0,4.2176595499622636,52.19866311854986
strategy-06-reduce-index-copies,numeric_mar_medium,2.9725752500235103,0.5515878796577454,0.4296626150608063,,1.0,5.484327999933157,45.79873322566156
strategy-06-reduce-index-copies,numeric_wide_light_missing,6.819965150032658,0.7288858294487,0.5673931837081909,,1.0,12.23135600000387,44.24195363105694
final-strategy-04,mixed_dataframe_mar,0.7958222999586724,7914.160750183523,2758.252205229868,0.9467238211879976,1.0,0.9651028499938548,17.540156475163272
final-strategy-04,numeric_block_medium,0.018305399978999,0.4452060461044311,0.3503726422786712,,1.0,0.02752290002536025,33.49029367496895
final-strategy-04,numeric_feature_selection,2.329064900055528,0.5035240054130554,0.3966721594333648,,1.0,4.2176595499622636,44.77826215071421
final-strategy-04,numeric_mar_medium,3.55723565001972,0.5515878796577454,0.4296626150608063,,1.0,5.484327999933157,35.13816733676258
final-strategy-04,numeric_wide_light_missing,6.511209100019187,0.7288858294487,0.5673931837081909,,1.0,12.23135600000387,46.766253062889135
